"Source Name",Path,"Date Accessed","Data Source"
GhostWare.lnk,"D:\Drivers\GhostWare","2004-08-20 17:09:16 CEST","4Dell Latitude CPi.E01"
Anonyymizer.lnk,"D:\Drivers\Anonyymizer","2004-08-20 17:04:52 CEST","4Dell Latitude CPi.E01"
keys.lnk,"D:\Drivers\Anonyymizer\keys.txt","2004-08-20 17:04:51 CEST","4Dell Latitude CPi.E01"
Receipt.lnk,"D:\Drivers\GhostWare\Receipt.rtf","2004-08-20 17:09:16 CEST","4Dell Latitude CPi.E01"
"Temp on m1200 (4.12.220.254).lnk","No preferred path found","2004-08-26 17:08:14 CEST","4Dell Latitude CPi.E01"
yng13.lnk,"\\4.12.220.254\TEMP\yng13.bmp","2004-08-26 17:08:12 CEST","4Dell Latitude CPi.E01"
"channels (2).lnk","C:\Program Files\mIRC\channels","2004-08-20 17:50:40 CEST","4Dell Latitude CPi.E01"
channels.lnk,"C:\Program Files\mIRC\channels\channels.txt","2004-08-20 17:50:40 CEST","4Dell Latitude CPi.E01"
