"Source Name",URL,Title,"Date Created","Program Name",Domain,"Data Source"
"Free Hotmail.url","http://www.microsoft.com/isapi/redir.dll?prd=ie&ar=hotmail","Free Hotmail.url","2004-08-20 01:04:57 CEST","Internet Explorer Analyzer",microsoft.com,"4Dell Latitude CPi.E01"
Windows.url,"http://www.microsoft.com/isapi/redir.dll?prd=ie&ar=windows",Windows.url,"2004-08-20 01:04:57 CEST","Internet Explorer Analyzer",microsoft.com,"4Dell Latitude CPi.E01"
"Windows Media.url","http://www.microsoft.com/isapi/redir.dll?prd=ie&ar=windowsmedia","Windows Media.url","2004-08-20 01:04:57 CEST","Internet Explorer Analyzer",microsoft.com,"4Dell Latitude CPi.E01"
"Radio Station Guide.url","http://www.microsoft.com/isapi/redir.dll?prd=windows&sbp=mediaplayer&plcid=&pver=6.1&os=&over=&olcid=&clcid=&ar=Media&sba=RadioBar&o1=&o2=&o3=","Radio Station Guide.url","2004-08-20 01:04:57 CEST","Internet Explorer Analyzer",microsoft.com,"4Dell Latitude CPi.E01"
"Customize Links.url","http://www.microsoft.com/isapi/redir.dll?prd=ie&pver=6&ar=CLinks","Customize Links.url","2004-08-20 01:04:57 CEST","Internet Explorer Analyzer",microsoft.com,"4Dell Latitude CPi.E01"
MSN.com.url,"http://www.microsoft.com/isapi/redir.dll?prd=ie&pver=6&ar=IStart",MSN.com.url,"2004-08-20 01:04:57 CEST","Internet Explorer Analyzer",microsoft.com,"4Dell Latitude CPi.E01"
